station_a,station_b,distance_km
107,126,31.334
107,140,18.837
107,150,43.661
107,162,10.724
107,166,18.837
107,167,11.174
107,169,7.533
107,170,18.837
107,179,18.129
107,181,8.479
107,184,31.064
107,187,42.43
126,140,13.571
126,150,34.582
126,162,20.61
126,166,13.571
126,167,23.766
126,169,24.711
126,170,13.571
126,179,49.197
126,181,26.933
126,184,0.27
126,187,19.43
140,150,36.892
140,162,8.113
140,166,0.0
140,167,11.269
140,169,12.214
140,170,0.0
140,179,36.7
140,181,14.436
140,184,13.301
140,187,24.667
150,162,38.224
150,166,36.892
150,167,40.74
150,169,37.217
150,170,36.892
150,179,61.461
150,181,41.258
150,184,34.312
150,187,41.345
162,166,8.113
162,167,3.156
162,169,4.101
162,170,8.113
162,179,28.587
162,181,6.323
162,184,20.34
162,187,31.706
166,167,11.269
166,169,12.214
166,170,0.0
166,179,36.7
166,181,14.436
166,184,13.301
166,187,24.667
167,169,5.545
167,170,11.269
167,179,29.038
167,181,6.773
167,184,23.496
167,187,34.861
169,170,12.214
169,179,25.333
169,181,5.129
169,184,24.44
169,187,35.806
170,179,36.7
170,181,14.436
170,184,13.301
170,187,24.667
179,181,26.607
179,184,48.927
179,187,60.293
181,184,26.663
181,187,38.029
184,187,19.16
