stasiun_id,horizon,definition,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
107,1,p95,lstm,862,67,116,0.9040377556371264,0.8248803827751197,0.8813905930470347,0.0721205597416577,978
107,1,p95,persistence,827,151,151,0.84560327198364,0.7325066430469442,0.84560327198364,0.15439672801635992,978
107,1,rise,lstm,424,25,79,0.8907563025210085,0.803030303030303,0.8429423459244533,0.0556792873051225,503
107,1,rise,persistence,386,100,117,0.7805864509605662,0.6401326699834162,0.7673956262425448,0.205761316872428,503
107,1,siaga3,lstm,11056,30,65,0.9957220696176882,0.9914805847009237,0.9941552018703353,0.0027061158217571712,11121
107,1,siaga3,persistence,10968,114,153,0.9879745980272936,0.9762349799732978,0.9862422444024818,0.01028695181375203,11121
107,6,p95,lstm,408,205,570,0.5128849780012571,0.3448858833474218,0.4171779141104294,0.33442088091353994,978
107,6,p95,persistence,359,621,619,0.36670071501532175,0.22451532207629768,0.3670756646216769,0.6336734693877552,978
107,6,rise,lstm,148,91,375,0.3884514435695538,0.24104234527687296,0.2829827915869981,0.3807531380753138,523
107,6,rise,persistence,106,365,417,0.21327967806841047,0.11936936936936937,0.20267686424474188,0.7749469214437368,523
107,6,siaga3,lstm,11056,266,50,0.9859104690565365,0.9722124516355962,0.9954979290473618,0.023494082317611728,11106
107,6,siaga3,persistence,10654,428,452,0.9603389219397873,0.9237038321484308,0.9593012785881505,0.038621187511279555,11106
107,12,p95,lstm,142,160,834,0.2222222222222222,0.125,0.14549180327868852,0.5298013245033113,976
107,12,p95,persistence,266,715,710,0.27184466019417475,0.15730337078651685,0.2725409836065574,0.7288481141692151,976
107,12,rise,lstm,54,13,499,0.17419354838709677,0.09540636042402827,0.09764918625678119,0.19402985074626866,553
107,12,rise,persistence,65,429,488,0.12416427889207259,0.06619144602851323,0.11754068716094032,0.868421052631579,553
107,12,siaga3,lstm,11072,386,16,0.9821697862148496,0.9649642670385219,0.9985569985569985,0.03368825274917089,11088
107,12,siaga3,persistence,10625,439,463,0.9592813289996388,0.9217489372776958,0.9582431457431457,0.03967823571945047,11088
107,24,p95,lstm,376,271,599,0.4636251541307028,0.3017656500802568,0.38564102564102565,0.4188562596599691,975
107,24,p95,persistence,452,525,523,0.46311475409836067,0.30133333333333334,0.4635897435897436,0.5373592630501536,975
107,24,rise,lstm,217,104,425,0.45067497403946,0.29088471849865954,0.338006230529595,0.32398753894080995,642
107,24,rise,persistence,229,197,413,0.4288389513108614,0.2729439809296782,0.35669781931464173,0.4624413145539906,642
107,24,siaga3,lstm,10931,213,126,0.9847304175487591,0.9699201419698315,0.9886045039341593,0.019113424264178034,11057
107,24,siaga3,persistence,10867,168,190,0.9837950389281188,0.9681069042316258,0.982816315456272,0.015224286361576802,11057
126,1,p95,lstm,0,0,0,,,,,0
126,1,p95,persistence,0,0,0,,,,,0
126,1,rise,lstm,473,2442,350,0.2530765115034778,0.14486983154670752,0.574726609963548,0.8377358490566038,823
126,1,rise,persistence,627,145,196,0.7862068965517242,0.6477272727272727,0.7618469015795869,0.1878238341968912,823
126,1,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,1,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,6,p95,lstm,0,0,0,,,,,0
126,6,p95,persistence,0,0,0,,,,,0
126,6,rise,lstm,138,1143,485,0.14495798319327732,0.07814269535673839,0.22150882825040127,0.892271662763466,623
126,6,rise,persistence,193,362,430,0.32767402376910015,0.19593908629441625,0.3097913322632424,0.6522522522522523,623
126,6,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,6,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,12,p95,lstm,0,0,0,,,,,0
126,12,p95,persistence,0,0,0,,,,,0
126,12,rise,lstm,124,1423,456,0.11659614480488951,0.0619071392910634,0.21379310344827587,0.9198448610213316,580
