event,stasiun_id,kecamatan,obs_exceed,pred_exceed_h6,bpbd_kejadian_bulan,pb_reports,pb_depth_median_cm
E2,107,CENGKARENG,True,True,13,0.0,
E2,126,KOJA,True,False,1,3.0,24.0
E2,140,PADEMANGAN,True,True,2,0.0,
E2,150,CIPAYUNG,True,True,1,0.0,
E2,162,PADEMANGAN,True,True,2,0.0,
E2,164,KELAPA GADING,True,True,0,1.0,44.0
E2,166,PADEMANGAN,True,True,2,0.0,
E2,167,PENJARINGAN,True,False,5,1.0,47.0
E2,169,TAMBORA,True,False,1,1.0,47.0
E2,170,,True,True,,,
E2,179,PENJARINGAN,True,False,5,0.0,
E2,181,PENJARINGAN,True,False,5,1.0,47.0
E2,184,KOJA,True,False,1,3.0,24.0
E2,187,CILINCING,True,False,11,0.0,
E6,107,CENGKARENG,True,True,8,1.0,52.0
E6,126,KOJA,False,False,0,0.0,
E6,140,PADEMANGAN,True,True,0,0.0,
E6,150,CIPAYUNG,True,True,0,0.0,
E6,162,PADEMANGAN,True,True,0,0.0,
E6,164,KELAPA GADING,False,False,0,0.0,
E6,166,PADEMANGAN,True,True,0,0.0,
E6,167,PENJARINGAN,False,False,14,0.0,
E6,169,TAMBORA,True,False,0,1.0,52.0
E6,170,,True,True,,,
E6,179,PENJARINGAN,False,False,14,0.0,
E6,181,PENJARINGAN,False,False,14,0.0,
E6,184,KOJA,False,False,0,0.0,
E6,187,CILINCING,False,False,0,0.0,
E7,107,CENGKARENG,True,True,not_published,0.0,
E7,126,KOJA,False,False,not_published,0.0,
E7,140,PADEMANGAN,True,True,not_published,0.0,
E7,150,CIPAYUNG,False,False,not_published,0.0,
E7,162,PADEMANGAN,True,True,not_published,0.0,
E7,164,KELAPA GADING,True,True,not_published,0.0,
E7,166,PADEMANGAN,False,False,not_published,0.0,
E7,167,PENJARINGAN,False,False,not_published,0.0,
E7,169,TAMBORA,False,False,not_published,0.0,
E7,170,,False,False,,,
E7,179,PENJARINGAN,True,False,not_published,0.0,
E7,181,PENJARINGAN,True,False,not_published,0.0,
E7,184,KOJA,False,False,not_published,0.0,
E7,187,CILINCING,False,False,not_published,0.0,
