event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,107,1,lstm,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,1,persistence,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,6,lstm,285,0,4,0.9930313588850174,0.986159169550173,0.986159169550173,0.0,289,2026-01-11 00:00:00,24.0
E2,107,6,persistence,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,12,lstm,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,12,persistence,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,24,lstm,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E2,107,24,persistence,289,0,0,1.0,1.0,1.0,0.0,289,2026-01-11 00:00:00,24.0
E6,107,1,lstm,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,1,persistence,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,6,lstm,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,6,persistence,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,12,lstm,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,12,persistence,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,24,lstm,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E6,107,24,persistence,73,0,0,1.0,1.0,1.0,0.0,73,2025-07-05 00:00:00,24.0
E7,107,1,lstm,21,0,0,1.0,1.0,1.0,0.0,21,2026-06-01 00:00:00,24.0
E7,107,1,persistence,19,0,2,0.95,0.9047619047619048,0.9047619047619048,0.0,21,2026-06-01 00:00:00,24.0
E7,107,6,lstm,16,0,0,1.0,1.0,1.0,0.0,16,2026-06-01 00:00:00,24.0
E7,107,6,persistence,16,0,0,1.0,1.0,1.0,0.0,16,2026-06-01 00:00:00,24.0
E7,107,12,lstm,10,0,0,1.0,1.0,1.0,0.0,10,2026-06-01 00:00:00,24.0
E7,107,12,persistence,10,0,0,1.0,1.0,1.0,0.0,10,2026-06-01 00:00:00,24.0
E7,107,24,lstm,2,0,0,1.0,1.0,1.0,0.0,2,2026-06-01 00:00:00,24.0
E7,107,24,persistence,2,0,0,1.0,1.0,1.0,0.0,2,2026-06-01 00:00:00,24.0
E2,126,1,lstm,0,0,1,0.0,0.0,0.0,,1,2026-01-22 05:00:00,0.0
E2,126,1,persistence,0,1,1,0.0,0.0,0.0,1.0,1,2026-01-22 05:00:00,0.0
E2,126,6,lstm,0,0,1,0.0,0.0,0.0,,1,2026-01-22 05:00:00,0.0
E2,126,6,persistence,0,1,1,0.0,0.0,0.0,1.0,1,2026-01-22 05:00:00,0.0
E2,126,12,lstm,0,0,1,0.0,0.0,0.0,,1,2026-01-22 05:00:00,0.0
E2,126,12,persistence,0,1,1,0.0,0.0,0.0,1.0,1,2026-01-22 05:00:00,0.0
E2,126,24,lstm,0,0,1,0.0,0.0,0.0,,1,2026-01-22 05:00:00,0.0
E2,126,24,persistence,0,0,1,0.0,0.0,0.0,,1,2026-01-22 05:00:00,0.0
E7,126,1,lstm,0,0,0,,,,,0,,
E7,126,1,persistence,0,0,0,,,,,0,,
E7,126,6,lstm,0,0,0,,,,,0,,
E7,126,6,persistence,0,0,0,,,,,0,,
E7,126,12,lstm,0,0,0,,,,,0,,
E7,126,12,persistence,0,0,0,,,,,0,,
E7,126,24,lstm,0,0,0,,,,,0,,
E7,126,24,persistence,0,0,0,,,,,0,,
E2,140,1,lstm,136,5,3,0.9714285714285714,0.9444444444444444,0.9784172661870504,0.03546099290780142,139,2026-01-11 00:00:00,24.0
E2,140,1,persistence,126,13,13,0.9064748201438849,0.8289473684210527,0.9064748201438849,0.09352517985611511,139,2026-01-11 00:00:00,24.0
E2,140,6,lstm,127,18,12,0.8943661971830986,0.8089171974522293,0.9136690647482014,0.12413793103448276,139,2026-01-11 00:00:00,24.0
E2,140,6,persistence,68,72,71,0.4874551971326165,0.3222748815165877,0.4892086330935252,0.5142857142857142,139,2026-01-11 00:00:00,24.0
E2,140,12,lstm,125,11,14,0.9090909090909091,0.8333333333333334,0.8992805755395683,0.08088235294117647,139,2026-01-11 00:00:00,24.0
E2,140,12,persistence,8,130,131,0.05776173285198556,0.02973977695167286,0.05755395683453238,0.9420289855072463,139,2026-01-11 00:00:00,24.0
E2,140,24,lstm,126,10,13,0.9163636363636364,0.8456375838926175,0.9064748201438849,0.07352941176470588,139,2026-01-11 00:00:00,24.0
E2,140,24,persistence,126,10,13,0.9163636363636364,0.8456375838926175,0.9064748201438849,0.07352941176470588,139,2026-01-11 00:00:00,24.0
E6,140,1,lstm,53,0,3,0.9724770642201835,0.9464285714285714,0.9464285714285714,0.0,56,2025-07-05 00:00:00,0.0
