stasiun_id,var,lag_h,corr
107,tide,0,0.682
107,rain,11,0.202
126,tide,52,0.035
126,rain,71,-0.178
140,tide,0,0.592
140,rain,0,0.051
150,tide,54,-0.039
150,rain,13,0.418
162,tide,0,0.764
162,rain,59,-0.066
164,tide,54,0.026
164,rain,8,0.026
166,tide,11,-0.147
166,rain,10,0.252
167,tide,20,-0.058
167,rain,13,0.222
169,tide,1,0.235
169,rain,4,0.232
170,tide,11,-0.161
170,rain,11,0.258
179,tide,0,0.299
179,rain,3,0.04
181,tide,0,0.34
181,rain,6,0.124
184,tide,0,0.399
184,rain,0,0.091
187,tide,0,0.401
187,rain,0,0.087
